cohort_id,cohort,cohort_election_year,cohort_term_start,cohort_analysis_max,provinces_all,provinces_treated,provinces_control,row_election_years,treated_grids,control_grids,treated_post_zero_rows,wrong_term_rows
1,24246,2017,24208,24267,2,2,2,1,448,67553,0.0,0.0
3,24247,2017,24208,24267,2,2,2,1,289,67264,0.0,0.0
5,24248,2017,24208,24267,2,1,2,1,199,67065,0.0,0.0
8,24249,2017,24208,24267,2,2,2,1,1712,65353,0.0,0.0
10,24250,2017,24208,24267,2,1,2,1,678,64675,0.0,0.0
13,24251,2017,24208,24267,2,2,2,1,651,64024,0.0,0.0
15,24252,2017,24208,24267,2,2,2,1,369,63655,0.0,0.0
18,24253,2017,24208,24267,2,2,2,1,499,63156,0.0,0.0
21,24254,2017,24208,24267,2,2,2,1,549,62607,0.0,0.0
24,24255,2017,24208,24267,2,2,2,1,146,62461,0.0,0.0
26,24256,2017,24208,24267,2,1,2,1,185,62276,0.0,0.0
29,24257,2017,24208,24267,2,2,2,1,373,61903,0.0,0.0
31,24258,2017,24208,24267,2,2,2,1,358,61545,0.0,0.0
33,24259,2017,24208,24267,2,2,2,1,149,61396,0.0,0.0
35,24260,2017,24208,24267,2,2,2,1,402,60994,0.0,0.0
37,24261,2017,24208,24267,2,2,2,1,538,60456,0.0,0.0
40,24262,2017,24208,24267,2,2,2,1,262,60194,0.0,0.0
42,24263,2017,24208,24267,2,2,2,1,114,60080,0.0,0.0
44,24264,2017,24208,24267,2,2,2,1,85,59995,0.0,0.0
